ID,Title,Milestone,OwnerRole,EstimateDays,Dependencies,AcceptanceCriteria,CoOwner
VS-M0-06,"Python worker bootstrap (venv, wheels lockfile, run_worker.py)",M0 Foundations,ML,2,,Start/stop from Core; health ping OK,false
VS-M0-08,Handshake v1 (version negotiation + warnings),M0 Foundations,BE/ML,1,VS-M0-07,Unknown fields tolerated; flags visible,true
VS-M0-09,GPU probe (CUDA/DirectML/CPU) + Hardware banner,M0 Foundations,ML/FE,1,VS-M0-06,Correct detection on GPU/no-GPU machines,true
VS-M1-04,VAD step (WebRTC + Silero selectable),M1 Data/Converter,ML,2,VS-M0-06,Segments saved; SNR reported,false
VS-M2-03,ASR: faster-whisper (auto compute type),M2 Transcripts,ML,2,VS-M0-06,10-min clip transcribed < real-time (GPU),false
VS-M2-04,"Forced alignment: WhisperX primary, MFA fallback",M2 Transcripts,ML,2,VS-M2-03,Word/phoneme timings; <2% >80ms error,false
VS-M3-01,Piper TTS inference wrapper,M3 Models,ML,1,VS-M0-06,Synthesize text -> WAV path,false
VS-M3-02,"Piper fine-tune pipeline (hparams, checkpoints, resume)",M3 Models,ML,2,VS-M3-01,Loss decreases; ckpt in models/piper,false
VS-M3-03,"RVC training + conversion (RMVPE F0, RT/offline)",M3 Models,ML,3,VS-M0-06,<=1.2x RTF on GPU; stable pitch,false
VS-M3-05,Prosody controls (rate/pitch/energy + style tokens),M3 Models,FE/ML,2,VS-M3-04,±5% measurable change,true
VS-M5-02,Dataset Studio: phoneme lane + diarization view,M5 UX Polish,FE/ML,2,VS-M2-04,Phones track scrubbing,true
VS-M6-02,"Plugin SDK (Python): server skeleton, runner, examples",M6 SDK & Samples,ML,2,VS-M4-01,Sample model plugin runs self-test,false
VS-M6-04,"Sample plugins: Exporter (C#), Task (Py), UIPanel (C#)",M6 SDK & Samples,FE/ML,3,VS-M6-01,Appear in Hub; survive restart/update,true
VS-M7-03,Offline wheel cache for worker,M7 Release,ML/Build,1,VS-M0-06,First-run offline install works,true
