Summary,Issue Type,Description,Labels,Story Points,Dependencies,External ID
VS-M0-03 – SQLite init + baseline schema (Projects/Assets/Utterances/Models/Checkpoints/Jobs/Logs/Plugins/Consents),Task,"SQLite init + baseline schema (Projects/Assets/Utterances/Models/Checkpoints/Jobs/Logs/Plugins/Consents)
Milestone: M0 Foundations
OwnerRole: BE
Acceptance: Migrations idempotent, WAL on",M0_Foundations,2,,VS-M0-03
"VS-M0-04 – Structured logging (Serilog JSON, rolling)",Task,"Structured logging (Serilog JSON, rolling)
Milestone: M0 Foundations
OwnerRole: BE
Acceptance: Per-process logs with correlation IDs",M0_Foundations,1,,VS-M0-04
VS-M0-05 – gRPC over Named Pipes transport with deadlines/cancel,Task,"gRPC over Named Pipes transport with deadlines/cancel
Milestone: M0 Foundations
OwnerRole: BE
Acceptance: Echo service passes timeout/cancel tests",M0_Foundations,2,VS-M0-03,VS-M0-05
"VS-M0-07 – Plugin Host (manifest parse, signature verify, cap registry)",Task,"Plugin Host (manifest parse, signature verify, cap registry)
Milestone: M0 Foundations
OwnerRole: BE
Acceptance: Loads sample plugin; rejects unsigned",M0_Foundations,2,VS-M0-05,VS-M0-07
VS-M0-08 – Handshake v1 (version negotiation + warnings),Task,"Handshake v1 (version negotiation + warnings)
Milestone: M0 Foundations
OwnerRole: BE/ML
Acceptance: Unknown fields tolerated; flags visible",M0_Foundations,1,VS-M0-07,VS-M0-08
VS-M1-01 – FFmpeg runner (out-of-proc) + error mapping,Task,"FFmpeg runner (out-of-proc) + error mapping
Milestone: M1 Data/Converter
OwnerRole: BE
Acceptance: Structured failure codes returned",M1_Data/Converter,1,VS-M0-03,VS-M1-01
VS-M1-02 – Project audio format presets,Task,"Project audio format presets
Milestone: M1 Data/Converter
OwnerRole: FE/BE
Acceptance: Persisted per-project",M1_Data/Converter,1,VS-M1-01,VS-M1-02
VS-M1-03 – Batch converter queue (resume/retry/idempotent by hash),Task,"Batch converter queue (resume/retry/idempotent by hash)
Milestone: M1 Data/Converter
OwnerRole: BE
Acceptance: Re-run doesn’t duplicate work",M1_Data/Converter,2,VS-M1-02,VS-M1-03
VS-M1-06 – Cache layout & counters,Task,"Cache layout & counters
Milestone: M1 Data/Converter
OwnerRole: BE
Acceptance: Hit/miss counters visible",M1_Data/Converter,1,VS-M0-03,VS-M1-06
VS-M2-01 – Transcript importers: .txt/.srt/.vtt,Task,"Transcript importers: .txt/.srt/.vtt
Milestone: M2 Transcripts
OwnerRole: BE
Acceptance: Cues -> utterances with times",M2_Transcripts,1,VS-M0-03,VS-M2-01
